ID_Number_Seal,Production_Order,SAP_NO,MLFB,PRODUCT_TYPE,OPENING_TIME_NOM,CLOSING_TIME_NOM,BREAKER_LIFE_TYPE_ID,CREATE_DATE
000491211015012,111011015000,9999999999,3WL13404DG464GA2ZB12,3WL1,98.82,64.28,L011,2001-10-15 00:00:00.000
000491211015013,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015014,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015015,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211015016,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-15 00:00:00.000
000491211016000,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016001,000150254681,75091352,3WL11102BB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016002,111011016000,9999999999,3WL13634DG454GA2,3WL1,91.28,61.48,L011,2001-10-16 00:00:00.000
000491211016003,000150254677,75091352,3WL11162CB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016004,000150254677,75091352,3WL11162CB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016005,000150254676,75091352,3WL11122CB321AA2ZA20K07,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016006,000150254642,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016007,000150254642,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016008,000150254642,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016009,000150254683,75091352,3WL11122AA321AA2ZA20,3WL1,0.00,0.00,L001,2001-10-16 00:00:00.000
000491211016010,000150254642,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016011,000150254642,75091263,3WL12202BB321AA2ZA20K07N61,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016012,000150254641,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016013,000150254641,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-16 00:00:00.000
000491211016015,000150261702,75094646,3WL11122CB464GA2ZA30C01C22K07,3WL1,77.00,54.44,L001,2001-10-16 00:00:00.000
000491211017000,111011008001,9999999999,3WL13634DG454GA2,3WL1,92.80,52.44,L011,2001-10-17 00:00:00.000
000491211017001,000150254641,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017002,000150254641,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017003,000150254641,75091263,3WL12202BB321AA2ZA20K07,3WL1,0.00,0.00,L007,2001-10-17 00:00:00.000
000491211017004,000150260377,75094017,3WL11082CB344GS4,3WL1,73.29,53.04,L001,2001-10-17 00:00:00.000
000491211017005,000150260377,75094017,3WL11082CB344GS4,3WL1,72.75,50.72,L001,2001-10-17 00:00:00.000
000491211017006,000150251088,75089538,3WL12082BB321GA2ZA20K07M06M26N61,3WL1,90.85,52.64,L007,2001-10-17 00:00:00.000
000491211017007,000150251088,75089538,3WL12082BB321GA2ZA20K07M06M26N61,3WL1,90.93,52.28,L007,2001-10-17 00:00:00.000
